region,latitude,longitude,max_lat,min_lon,min_lat,max_lon
cherkasy,49.2641,32.0337,50.2287097,29.6062718,48.452037,32.8961836
chernihiv,51.2,32.04,52.3791473,30.48207,50.3455646,33.50071599999999
chernivtsi,48.17,26.01,48.6757227,24.9084453,47.7249475,27.534269899999988
dnipropetrovsk,48.23,34.43,49.1939422,32.9595518,47.4566155,36.93688680000001
donetsk,48.08,37.44,49.2338782,36.5419522,46.687677,39.091441300000014
ivanofrankivsk,48.393,24.3018,49.5477701,23.5471018,47.7243356,25.65311959999999
kharkiv,49.35,36.26,50.4594394,34.8561234,48.531178,38.09361480000001
kherson,46.3,34.0,47.600194,31.1590964,45.7565682,35.468039099999984
khmelnytskyi,49.32,26.52,50.5945558,26.1327674,48.4512087,27.8979596
kiev,50.27,30.32,51.5537781,29.2682606,49.1786949,32.16102640000001
kirovohrad,48.28,32.16,49.2447143,29.7494658,47.7488944,33.894310899999994
luhansk,48.55,39.01,50.0882189,37.8388504,47.8250596,40.2275801
lviv,49.4303,23.5701,50.6489605,22.6408308,48.7182704,25.4270391
lviv,47.26,31.48,50.6489605,22.6408308,48.7182704,25.4270391
odessa,47.0,30.0,48.2339336,28.2138288,45.0531988,31.304977599999987
poltava,49.3857,33.4726,50.5537093,32.08677,48.7233941,35.49107750000002
rivne,50.44,26.21,51.9500147,25.0841021,50.0040513,27.73463820000001
sumy,51.142,34.1909,52.3662955,32.94372,50.1102415,35.6926624
ternopil,49.2335,25.3335,50.2668948,24.7195933,48.5074845,26.443342499999986
vinnytsia,48.56,28.41,49.8892989,27.3730454,48.0654824,30.020773599999988
volyn,50.4429,25.2114,51.9692361,23.6053661,50.2872691,26.1072887
zakarpattia,48.25,23.17,49.0973238,22.137059,47.8974709,24.627002900000015
zaporizhia,47.5,35.1,48.1449302,34.1394646,46.1464862,37.24862860000002
zhytomyr,50.39,28.31,51.6814341,27.1896973,49.5841814,29.735212600000004
